configurationID,aud,constrained-intra,intra-refresh,no-asm,slow-firstpass,weightb,aq-strength,ipratio,pbratio,psy-rd,qblur,qcomp,vbv-init,aq-mode,b-adapt,bframes,crf,keyint,lookahead-threads,min-keyint,qp,qpstep,qpmin,qpmax,rc-lookahead,ref,vbv-bufsize,deblock,me,overscan,preset,scenecut,tune,size,user,system,elapsedtime,cpu,empty,fps,kbs
1062,--aud,--constrained-intra,None,None,None,--weightb,0.5,1.6,1.3,1.0,0.4,0.8,0.2,2,0,8,45,260,0,27,20,3,4,61,18,6,2000,-2:-2,dia,crop,medium,10,grain,3813967,70.88,0.36,0:15.29,465,32.76,1526.39
1063,--aud,None,None,None,--slow-firstpass,--weightb,2.5,1.2,1.3,0.2,0.6,0.7,0.6,3,0,0,45,250,0,22,30,5,0,64,18,6,1000,-1:-1,dia,show,faster,40,ssim,886551,22.34,0.37,0:10.18,223,49.35,353.08
1064,--aud,None,None,--no-asm,None,--no-weightb,1.5,1.0,1.1,0.8,0.4,0.9,0.6,1,2,12,45,270,1,29,10,3,1,61,38,1,1000,-2:-2,hex,show,faster,30,psnr,11171402,181.87,0.40,0:55.62,327,8.98,4475.26
1065,--aud,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,3.0,1.5,1.1,0.8,0.4,0.7,0.0,3,2,6,15,260,0,21,30,3,0,66,28,1,2000,-2:-2,umh,show,fast,30,animation,965295,147.38,0.47,0:49.03,301,10.19,384.64
1066,None,None,None,--no-asm,--slow-firstpass,--weightb,3.0,1.2,1.3,0.8,0.6,0.7,0.8,0,2,8,35,210,0,27,0,4,1,66,48,1,2000,-2:-2,umh,show,fast,40,grain,26215862,201.72,0.41,1:02.23,324,8.03,10505.71
1067,--aud,--constrained-intra,None,None,--slow-firstpass,--weightb,2.5,1.0,1.2,3.4,0.2,0.8,0.3,1,0,8,25,300,1,25,30,4,1,65,18,5,1000,-2:-2,hex,show,faster,30,animation,1215750,28.15,0.32,0:06.67,426,75.36,485.02
1068,None,--constrained-intra,None,None,--slow-firstpass,--weightb,3.0,1.6,1.4,5.0,0.2,0.6,0.7,2,0,14,5,290,2,30,40,5,1,66,38,2,2000,-2:-2,dia,crop,placebo,10,animation,578824,881.11,0.40,2:51.58,513,2.91,230.34
1069,--aud,None,None,--no-asm,--slow-firstpass,--weightb,3.0,1.4,1.2,4.2,0.2,0.7,0.0,2,2,2,45,220,0,26,30,3,1,60,18,6,2000,1:1,hex,show,medium,0,psnr,1013152,160.59,0.37,1:06.29,242,7.54,403.82
1070,--aud,None,None,--no-asm,None,--no-weightb,2.0,1.4,1.3,4.4,0.5,0.7,0.4,1,0,16,45,230,3,22,10,3,4,62,18,6,1000,-2:-2,hex,crop,superfast,0,psnr,16957342,321.97,0.28,1:05.78,489,7.59,6794.27
108,None,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,2.0,1.4,1.4,4.8,0.6,0.7,0.5,2,2,0,20,290,3,27,20,5,1,60,38,1,2000,-1:-1,dia,crop,ultrafast,40,grain,4377705,63.91,0.29,0:13.72,467,36.47,1752.94
1071,None,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,1.0,1.5,1.3,1.4,0.5,0.8,0.3,3,2,0,0,300,4,20,40,4,2,66,48,6,1000,-2:-2,dia,crop,placebo,0,grain,244372,3147.10,0.51,20:09.71,260,0.41,96.30
1072,--aud,None,None,None,--slow-firstpass,--no-weightb,0.5,1.0,1.3,3.8,0.6,0.8,0.3,3,1,4,35,230,3,29,0,5,0,61,18,6,1000,-1:-1,hex,show,fast,40,animation,25709037,61.77,0.38,0:21.17,293,23.68,10301.98
1073,None,--constrained-intra,None,None,None,--weightb,3.0,1.4,1.4,2.6,0.6,0.9,0.8,1,2,0,5,290,2,28,50,3,1,60,48,2,1000,-1:-1,hex,crop,veryslow,30,psnr,54939,94.27,0.30,0:38.62,244,12.94,20.37
1074,None,None,None,--no-asm,None,--no-weightb,1.5,1.2,1.1,0.4,0.2,0.6,0.8,2,0,10,30,220,1,25,40,4,1,65,18,5,1000,-2:-2,umh,crop,medium,40,animation,245486,180.73,0.36,0:49.26,367,10.13,96.73
1075,--aud,None,None,None,None,--no-weightb,0.0,1.4,1.2,0.4,0.5,0.6,0.2,1,1,6,10,200,3,24,40,3,4,62,38,6,2000,-2:-2,umh,show,veryfast,30,ssim,246485,17.92,0.41,0:06.37,287,78.84,96.53
1076,--aud,--constrained-intra,None,--no-asm,None,--weightb,1.5,1.4,1.3,4.0,0.3,0.7,0.8,2,0,10,0,200,1,28,10,4,2,63,28,2,2000,-2:-2,dia,show,veryfast,10,ssim,17118510,270.24,0.26,0:54.65,494,9.14,6858.87
1077,--aud,--constrained-intra,None,None,None,--no-weightb,2.0,1.3,1.1,3.8,0.2,0.7,0.3,1,2,2,45,210,3,26,50,5,4,61,28,3,2000,1:1,umh,crop,veryslow,40,psnr,56433,128.14,0.26,0:51.56,249,9.69,20.36
1078,None,--constrained-intra,None,None,None,--no-weightb,2.0,1.3,1.3,3.4,0.2,0.7,0.2,3,2,0,20,220,3,29,20,4,1,62,28,3,2000,-2:-2,hex,crop,fast,40,grain,3846935,38.60,0.28,0:15.10,257,33.15,1540.20
1079,None,--constrained-intra,None,None,--slow-firstpass,--weightb,1.0,1.1,1.0,3.8,0.2,0.9,0.1,1,1,4,45,220,2,22,20,4,4,60,38,3,1000,-2:-2,hex,crop,fast,40,psnr,3763215,35.71,0.43,0:12.73,283,39.38,1506.64
1080,--aud,None,None,None,--slow-firstpass,--no-weightb,2.5,1.6,1.4,3.8,0.3,0.7,0.0,0,1,8,0,230,3,29,0,4,3,68,38,2,2000,-2:-2,dia,crop,superfast,10,ssim,26094310,51.07,0.45,0:10.05,512,50.43,10456.39
109,None,--constrained-intra,None,--no-asm,None,--no-weightb,1.0,1.6,1.3,3.6,0.2,0.6,0.3,1,2,16,15,290,3,28,10,4,1,60,18,4,1000,-1:-1,umh,show,veryslow,10,grain,12164984,4015.87,0.61,25:17.14,264,0.33,4874.09
1081,None,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,2.5,1.5,1.3,2.4,0.2,0.6,0.1,0,0,0,15,280,2,29,40,3,2,60,48,6,2000,-2:-2,umh,show,ultrafast,10,psnr,265911,121.79,0.57,0:38.02,321,13.14,104.92
1082,--aud,--constrained-intra,None,None,--slow-firstpass,--no-weightb,1.5,1.1,1.4,1.2,0.5,0.8,0.3,1,1,14,40,250,1,23,40,4,1,61,28,5,2000,-1:-1,dia,show,veryfast,40,animation,259131,20.39,0.44,0:08.23,253,61.17,101.60
1083,--aud,--constrained-intra,None,--no-asm,None,--weightb,0.5,1.1,1.0,4.6,0.5,0.6,0.8,0,1,4,50,230,1,22,30,4,0,60,48,2,2000,-1:-1,umh,show,fast,0,psnr,1065086,164.74,0.28,1:02.74,263,7.96,424.63
